,characters,fa_list
0,K02257,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
1,K02274,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
2,K02259,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
3,K02275,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
4,K01772,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: T08201>, <TN: T01485>]"
5,K00627,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
6,K02276,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
7,K01669,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>]"
8,K21636,"[<TN: Gammaproteobacteria>, <TN: Bifidobacterium>, <TN: T00925>]"
9,K03635,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
10,K00164,"[<TN: Pseudomonadota>, <TN: Staphylococcus>]"
11,K04068,"[<TN: Gammaproteobacteria>, <TN: T00398>, <TN: T05201>]"
12,K01724,"[<TN: Pseudomonadota>, <TN: Mycobacteriales>, <TN: T00447>, <TN: T02545>]"
13,K00162,"[<TN: Bacilli>, <TN: T06085>, <TN: T00925>, <TN: T05201>]"
14,K00161,"[<TN: Bacilli>, <TN: T06085>, <TN: T00925>, <TN: T05201>]"
15,K01011,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T04453>]"
16,K00135,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacilli>]"
17,K13628,"[<TN: Pseudomonadota>, <TN: Staphylococcus>]"
18,K01255,[<TN: T06719>]
19,K03636,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
20,K06886,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>]"
21,K08303,"[<TN: Comamonadaceae>, <TN: Gammaproteobacteria>, <TN: Bifidobacterium>]"
22,K02221,[]
23,K07152,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T02545>]"
24,K01589,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T06584>, <TN: T02133>]"
25,K17828,"[<TN: Bifidobacterium>, <TN: T00398>]"
26,K00573,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>]"
27,K03980,[<TN: T07941>]
28,K01419,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T08201>, <TN: T01461>]"
29,K03667,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T08201>, <TN: T01461>]"
30,K00632,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Eubacteriales>]"
31,K01638,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
32,K00262,"[<TN: Comamonadaceae>, <TN: Eubacteriales>]"
33,K03820,[<TN: T02133>]
34,K01493,[<TN: Comamonadaceae>]
35,K03074,[]
36,K02823,"[<TN: Bifidobacterium>, <TN: T00398>]"
37,K00228,[<TN: Pseudomonadota>]
38,K07133,"[<TN: Campylobacterales>, <TN: Bacteroidales>, <TN: Coriobacteriia>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: Lactobacillus>, <TN: T08201>, <TN: T01461>]"
39,K06980,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
40,K00254,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T02133>, <TN: T00122>]"
41,K03737,[]
42,K03179,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>, <TN: T06584>, <TN: T02545>, <TN: T02133>]"
43,K01903,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Campylobacter>, <TN: Bacilli>, <TN: T00122>]"
44,K07146,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Staphylococcus>]"
0,K22132,"[<TN: Micrococcales>, <TN: Corynebacterium>]"
1,K00332,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Mycobacteriales>, <TN: T02545>]"
2,K00681,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: Eubacteriales>, <TN: T04453>, <TN: T08780>]"
3,K15034,"[<TN: Pseudomonadota>, <TN: Corynebacterium>, <TN: T01461>, <TN: T00447>, <TN: T02545>]"
4,K14393,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
5,K00333,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: Mycobacteriales>, <TN: T02545>]"
6,K03152,[<TN: Coriobacteriia>]
7,K01880,"[<TN: Actinomycetota>, <TN: Bacteroidales>, <TN: Bacillota>, <TN: T01461>]"
8,K08296,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Campylobacter>]"
9,K03072,[]
10,K01902,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Campylobacter>, <TN: Bacilli>, <TN: T00122>]"
11,K03816,"[<TN: Actinomycetota>, <TN: Bacteroides>, <TN: Gammaproteobacteria>, <TN: Bacillota>, <TN: Bifidobacterium>, <TN: T01461>]"
12,K01878,"[<TN: Bacilli>, <TN: T00964>]"
13,K07137,[]
14,K03615,"[<TN: Gammaproteobacteria>, <TN: Coriobacteriia>, <TN: T02505>]"
15,K06999,"[<TN: Pseudomonadota>, <TN: Micrococcaceae>, <TN: Bifidobacterium>]"
16,K06204,"[<TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: Micrococcales>, <TN: Campylobacter>, <TN: T01461>, <TN: T06523>]"
17,K03617,"[<TN: Gammaproteobacteria>, <TN: Coriobacteriia>]"
18,K00610,"[<TN: Bacteroidales>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T01461>, <TN: T03770>, <TN: T00964>]"
19,K00242,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T08201>]"
20,K00989,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: T04453>, <TN: T06584>, <TN: T04182>]"
21,K01879,"[<TN: Bacilli>, <TN: T00964>]"
22,K01920,[<TN: Pseudomonadota>]
23,K00963,[]
24,K03750,"[<TN: Bacilli>, <TN: Dorea>, <TN: T06584>]"
25,K00252,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
26,K00658,"[<TN: Pseudomonadota>, <TN: Bacteroides>, <TN: Staphylococcus>]"
27,K00121,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
28,K06891,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Campylobacter>, <TN: T06523>]"
29,K00970,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacteroidales>, <TN: T01461>]"
30,K00982,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
31,K05786,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Campylobacter>, <TN: Bacilli>, <TN: T08201>, <TN: T04453>]"
32,K00362,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>]"
33,K03782,"[<TN: Pseudomonadota>, <TN: T06794>]"
34,K04759,"[<TN: Burkholderiales>, <TN: Gammaproteobacteria>, <TN: Mycobacteriales>, <TN: Bifidobacterium>]"
35,K01006,"[<TN: T06085>, <TN: T00398>, <TN: T02545>]"
36,K09791,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T08201>]"
37,K06916,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T08201>]"
38,K03169,"[<TN: Campylobacter>, <TN: Coriobacteriia>, <TN: T03496>, <TN: T05201>]"
39,K00651,"[<TN: Actinomycetota>, <TN: Bacteroides>, <TN: Bacillota>, <TN: Bifidobacterium>, <TN: T01461>, <TN: T06085>, <TN: T03770>]"
40,K09157,"[<TN: Actinomycetota>, <TN: Mycobacteriales>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T04453>, <TN: T01461>, <TN: T00964>, <TN: T04115>]"
41,K07390,[<TN: Pseudomonadota>]
42,K01061,"[<TN: Burkholderiales>, <TN: Actinomycetes>, <TN: Lactobacillus>, <TN: T06554>]"
43,K03976,"[<TN: Gammaproteobacteria>, <TN: Campylobacter>]"
44,K00459,[]
0,K00390,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T04453>, <TN: T01461>, <TN: T08069>, <TN: T02133>]"
1,K01637,"[<TN: Actinomycetota>, <TN: Pseudomonadota>]"
2,K00568,[<TN: Pseudomonadota>]
3,K03644,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: Staphylococcus>]"
4,K09001,"[<TN: Pseudomonadota>, <TN: T04182>, <TN: T04222>, <TN: T06523>]"
5,K07166,"[<TN: Actinomycetota>, <TN: Mycobacteriales>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T04453>, <TN: T01461>, <TN: T00964>, <TN: T04115>]"
6,K00990,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
7,K00163,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
8,K06929,"[<TN: Comamonadaceae>, <TN: Actinomycetes>, <TN: T06085>, <TN: T00925>]"
9,K00457,"[<TN: Pseudomonadota>, <TN: T02545>]"
10,K06193,"[<TN: Pseudomonadota>, <TN: Comamonadaceae>, <TN: T04021>, <TN: T00398>, <TN: T06584>, <TN: T05201>, <TN: T06523>]"
11,K02116,"[<TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: T08201>, <TN: T06584>, <TN: T00701>, <TN: T02545>]"
12,K01029,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Staphylococcus>, <TN: T08780>]"
13,K14162,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
14,K03752,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Campylobacter>, <TN: Coriobacteriia>, <TN: Bacilli>, <TN: T08201>, <TN: T04453>, <TN: T06584>]"
15,K01595,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T08780>]"
16,K08973,"[<TN: Campylobacterales>, <TN: Pseudomonadota>]"
17,K03117,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: T08201>]"
18,K07139,"[<TN: Bacteroidales>, <TN: Bacillota>, <TN: T01461>]"
19,K00363,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>]"
20,K09773,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Bacillota>]"
21,K04041,"[<TN: Bacteroidales>, <TN: Bacillota>, <TN: Coriobacteriia>]"
22,K01640,"[<TN: Pseudomonadota>, <TN: Mycobacteriales>, <TN: T04453>, <TN: T04182>, <TN: T00447>, <TN: T02545>]"
23,K00940,"[<TN: Bacteroides>, <TN: Bacilli>]"
24,K03613,"[<TN: Gammaproteobacteria>, <TN: Coriobacteriia>]"
25,K02303,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Staphylococcus>, <TN: Corynebacterium>]"
26,K00241,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: Bacilli>, <TN: T08201>, <TN: T06719>]"
27,K02415,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T01461>, <TN: T08780>]"
28,K04755,"[<TN: Pseudomonadota>, <TN: T06719>, <TN: T00701>]"
29,K00275,"[<TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: T02545>, <TN: T06794>]"
30,K07516,[<TN: Pseudomonadota>]
31,K00019,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>, <TN: T08780>]"
32,K09767,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: T08201>]"
33,K02535,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>, <TN: T04453>]"
34,K03801,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacteroidales>]"
35,K00705,[<TN: T00701>]
36,K03089,[<TN: Pseudomonadota>]
37,K11473,"[<TN: Pseudomonadota>, <TN: Campylobacter>]"
38,K09780,"[<TN: Gammaproteobacteria>, <TN: Micrococcales>, <TN: Corynebacterium>, <TN: T06085>, <TN: T00398>, <TN: T02545>]"
39,K02427,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T01461>]"
40,K02446,"[<TN: Actinomycetota>, <TN: T04453>, <TN: T03770>, <TN: T06584>]"
41,K04764,"[<TN: Pseudomonadota>, <TN: T08201>]"
42,K05788,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T05201>]"
43,K06871,"[<TN: Bacillota>, <TN: T01461>, <TN: T06085>, <TN: T02545>, <TN: T06523>]"
44,K03666,"[<TN: Pseudomonadota>, <TN: Bacilli>, <TN: T04182>]"
0,K02394,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T08780>]"
1,K03340,"[<TN: Bacteroidales>, <TN: Coriobacteriia>, <TN: Corynebacterium>, <TN: Lachnospiraceae>, <TN: T08201>]"
2,K00641,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Campylobacter>, <TN: Bacilli>, <TN: Eubacteriales>, <TN: T08201>, <TN: T04453>, <TN: T02133>]"
3,K03593,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: Staphylococcus>, <TN: T06584>]"
4,K00656,"[<TN: Bacteroidales>, <TN: Coriobacteriia>, <TN: Corynebacterium>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T04453>, <TN: T01461>, <TN: T03770>, <TN: T06584>]"
5,K00381,"[<TN: Pseudomonadota>, <TN: Staphylococcus>]"
6,K00048,"[<TN: Bacteroides>, <TN: Coriobacteriia>, <TN: Bifidobacterium>, <TN: Lachnospiraceae>, <TN: T04453>, <TN: T01461>, <TN: T06584>]"
7,K01692,"[<TN: Actinomycetota>, <TN: Burkholderiales>, <TN: T06554>]"
8,K03562,"[<TN: Pseudomonadota>, <TN: Campylobacter>]"
9,K03652,"[<TN: Actinomycetota>, <TN: Comamonadaceae>, <TN: Gammaproteobacteria>, <TN: Bacilli>, <TN: Eubacteriales>, <TN: T08201>]"
10,K03560,"[<TN: Pseudomonadota>, <TN: T04453>]"
11,K07399,"[<TN: Actinomycetota>, <TN: Burkholderiales>, <TN: T08201>, <TN: T00964>]"
12,K03641,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T04453>, <TN: T01461>, <TN: T00447>, <TN: T06523>]"
13,K00799,[<TN: Pseudomonadota>]
14,K01679,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacillota>, <TN: T01461>, <TN: T08780>]"
15,K03324,"[<TN: Campylobacter>, <TN: Coriobacteriia>, <TN: T05738>]"
16,K07456,[]
17,K01556,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
18,K03183,[<TN: Bacilli>]
19,K01938,"[<TN: Micrococcales>, <TN: Corynebacterium>, <TN: Bifidobacterium>, <TN: T06085>]"
20,K16363,[<TN: Bacteroidales>]
21,K03316,"[<TN: Gammaproteobacteria>, <TN: T00925>]"
22,K03308,"[<TN: Gammaproteobacteria>, <TN: Micrococcales>, <TN: Coriobacteriia>, <TN: Corynebacterium>, <TN: T00701>]"
23,K08300,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
24,K05520,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: T00964>]"
25,K03116,[<TN: Bacilli>]
26,K18707,[<TN: T06085>]
27,K00850,[<TN: Gammaproteobacteria>]
28,K04069,"[<TN: Actinomycetota>, <TN: Bacteroidales>, <TN: Gammaproteobacteria>, <TN: Campylobacter>, <TN: Corynebacterium>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T04453>, <TN: T01461>, <TN: T06584>]"
29,K08972,"[<TN: Actinomycetota>, <TN: Burkholderiales>, <TN: Bacillota>]"
30,K08311,"[<TN: Campylobacterales>, <TN: Pseudomonadota>]"
31,K00684,"[<TN: Pseudomonadota>, <TN: T04021>, <TN: T06523>]"
32,K00943,"[<TN: T07943>, <TN: T02133>]"
33,K10764,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>]"
34,K06195,[<TN: Pseudomonadota>]
35,K00140,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T04453>]"
36,K07113,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
37,K00020,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Dorea>, <TN: T04453>, <TN: T06584>, <TN: T06719>]"
38,K02825,"[<TN: Actinomycetota>, <TN: Burkholderiales>, <TN: Bacillota>, <TN: T08201>, <TN: T04453>, <TN: T06554>]"
39,K10804,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Bacilli>, <TN: T00964>, <TN: T04182>]"
40,K00208,"[<TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: Campylobacter>, <TN: Bacilli>, <TN: T08201>]"
41,K01572,[<TN: Campylobacterales>]
42,K07723,[<TN: Staphylococcus>]
43,K03118,[<TN: Bacilli>]
44,K03579,"[<TN: Actinomycetota>, <TN: Pseudomonadota>]"
